Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,AL West,97,65,2,5.22,162,6270,5561,845,1384,292,23,257,800,49,21,578,1338,0.249,0.327,0.448,0.776,80,122,0.987,27.8
2018,AL West,97,65,2,5.02,162,6255,5579,813,1407,322,20,227,778,35,21,550,1381,0.252,0.325,0.439,0.764,89,125,0.985,28
2017,AL West,75,87,5,4.56,162,6126,5464,739,1344,305,15,234,708,57,22,565,1491,0.246,0.319,0.436,0.755,121,162,0.98,28.7
2016,AL West,69,93,5,4.03,162,6022,5500,653,1352,270,21,169,634,50,23,442,1145,0.246,0.304,0.395,0.699,97,152,0.984,28.7
2015,AL West,68,94,5,4.28,162,6171,5600,694,1405,277,46,146,661,78,29,475,1119,0.251,0.312,0.395,0.707,126,154,0.979,27.9
2014,AL West,88,74,2,4.5,162,6245,5545,729,1354,253,33,146,686,83,20,586,1104,0.244,0.32,0.381,0.7,111,150,0.982,29.6
2013,AL West,96,66,1,4.73,162,6209,5521,767,1403,301,25,186,725,74,28,573,1178,0.254,0.327,0.419,0.745,97,112,0.983,28.3
2012,AL West,94,68,1,4.4,162,6183,5527,713,1315,267,32,195,676,122,32,550,1387,0.238,0.31,0.404,0.714,111,135,0.982,27.7
2011,AL West,74,88,3,3.98,162,6104,5452,645,1330,280,29,114,612,117,43,509,1094,0.244,0.311,0.369,0.68,124,145,0.979,29.1
2010,AL West,81,81,2,4.09,162,6117,5448,663,1396,276,30,109,619,156,38,527,1061,0.256,0.324,0.378,0.702,99,147,0.984,27.8
2009,AL West,75,87,4,4.69,162,6247,5584,759,1464,307,21,135,723,133,48,527,1046,0.262,0.328,0.397,0.726,105,155,0.983,29.1
2008,AL West,75,86,3,4.01,161,6138,5451,646,1318,270,23,125,610,88,21,574,1226,0.242,0.318,0.369,0.686,98,169,0.984,27.2
2007,AL West,76,86,3,4.57,162,6365,5577,741,1430,295,16,171,711,52,20,664,1119,0.256,0.338,0.407,0.745,90,153,0.985,28.9
2006,AL West,93,69,1,4.76,162,6281,5500,771,1429,266,22,175,735,61,20,650,976,0.26,0.34,0.412,0.752,84,173,0.986,29.7
2005,AL West,88,74,2,4.77,162,6275,5627,772,1476,310,20,155,739,31,22,537,819,0.262,0.33,0.407,0.737,88,166,0.986,28.6
