Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,NL East,97,65,1,5.28,162,6302,5560,855,1432,277,29,249,824,89,28,619,1467,0.258,0.336,0.452,0.789,78,154,0.987,28
2018,NL East,90,72,1,4.69,162,6251,5582,759,1433,314,29,175,717,90,36,511,1290,0.257,0.324,0.417,0.742,80,134,0.986,27.4
2017,NL East,72,90,3,4.52,162,6216,5584,732,1467,289,26,165,706,77,31,474,1184,0.263,0.326,0.412,0.738,97,137,0.984,28.6
2016,NL East,68,93,5,4.03,161,6192,5514,649,1404,295,27,122,615,75,34,502,1240,0.255,0.321,0.384,0.705,101,134,0.983,28.9
2015,NL East,67,95,4,3.54,162,6034,5420,573,1361,251,18,100,548,69,33,471,1107,0.251,0.314,0.359,0.674,90,186,0.985,28.8
2014,NL East,79,83,2,3.54,162,6064,5468,573,1316,240,22,123,545,95,33,472,1369,0.241,0.305,0.36,0.665,85,143,0.986,26.8
2013,NL East,96,66,1,4.25,162,6133,5441,688,1354,247,21,181,656,64,31,542,1384,0.249,0.321,0.402,0.723,85,141,0.986,26.8
2012,NL East,94,68,2,4.32,162,6126,5425,700,1341,263,30,149,660,101,32,567,1289,0.247,0.32,0.389,0.709,86,147,0.986,28.5
2011,NL East,89,73,2,3.96,162,6169,5528,641,1345,244,16,173,606,77,44,504,1260,0.243,0.308,0.387,0.695,83,131,0.987,28.9
2010,NL East,91,71,2,4.56,162,6252,5463,738,1411,312,25,139,699,63,29,634,1140,0.258,0.339,0.401,0.74,126,166,0.98,28.6
2009,NL East,86,76,3,4.54,162,6335,5539,735,1459,300,20,149,700,58,26,602,1064,0.263,0.339,0.405,0.744,96,159,0.985,28.8
2008,NL East,72,90,4,4.65,162,6368,5604,753,1514,316,33,130,721,58,27,618,1023,0.27,0.345,0.408,0.753,107,149,0.983,27.2
2007,NL East,84,78,3,5,162,6374,5689,810,1562,328,27,176,781,64,30,534,1149,0.275,0.339,0.435,0.774,107,141,0.983,27.7
2006,NL East,79,83,3,5.24,162,6284,5583,849,1510,312,26,222,818,52,35,526,1169,0.27,0.337,0.455,0.791,99,146,0.984,27.5
2005,NL East,90,72,1,4.75,162,6186,5486,769,1453,308,37,184,733,92,32,534,1084,0.265,0.333,0.435,0.768,86,170,0.986,28.1
2004,NL East,96,66,1,4.96,162,6339,5570,803,1503,304,37,178,767,86,32,587,1158,0.27,0.343,0.434,0.777,116,171,0.981,28.9
2003,NL East,101,61,1,5.6,162,6378,5670,907,1608,321,31,235,872,68,22,545,933,0.284,0.349,0.475,0.824,121,166,0.981,30.3
2002,NL East,101,59,1,4.4,161,6224,5495,708,1428,280,25,164,669,76,39,558,1028,0.26,0.331,0.409,0.741,114,170,0.982,30.6
2001,NL East,88,74,1,4.5,162,6152,5498,729,1432,263,24,174,696,85,46,493,1039,0.26,0.324,0.412,0.736,103,133,0.983,30.3
2000,NL East,95,67,1,5,162,6275,5489,810,1490,274,26,179,758,148,56,595,1010,0.271,0.346,0.429,0.775,129,138,0.979,30.8
1999,NL East,103,59,1,5.19,162,6351,5569,840,1481,309,23,197,791,148,66,608,962,0.266,0.341,0.436,0.777,111,127,0.982,29.6
1998,NL East,106,56,1,5.1,162,6217,5484,826,1489,297,26,215,794,98,43,548,1062,0.272,0.342,0.453,0.795,91,139,0.985,28.9
1997,NL East,101,61,1,4.88,162,6315,5528,791,1490,268,37,174,755,108,58,597,1160,0.27,0.343,0.426,0.769,114,136,0.982,27.9
1996,NL East,96,66,1,4.77,162,6293,5614,773,1514,264,28,197,735,83,43,530,1032,0.27,0.333,0.432,0.765,130,143,0.98,27.9
1995,NL East,90,54,1,4.48,144,5464,4814,645,1202,210,27,168,618,73,43,520,933,0.25,0.326,0.409,0.735,100,113,0.982,27.9
1994,NL East,68,46,2,4.75,114,4349,3861,542,1031,198,18,137,510,48,31,377,668,0.267,0.333,0.434,0.767,81,85,0.982,28.2
1993,NL West,104,58,1,4.73,162,6234,5515,767,1444,239,29,169,712,125,48,560,946,0.262,0.331,0.408,0.739,108,146,0.983,28.8
1992,NL West,98,64,1,4.21,162,6143,5480,682,1391,223,48,138,641,126,60,493,924,0.254,0.316,0.388,0.703,109,121,0.982,28.4
1991,NL West,94,68,1,4.62,162,6182,5456,749,1407,255,30,141,704,165,76,563,906,0.258,0.328,0.393,0.722,138,122,0.978,28
1990,NL West,65,97,6,4.21,162,6084,5504,682,1376,263,26,162,636,92,55,473,1010,0.25,0.311,0.396,0.706,158,133,0.974,27.4
1989,NL West,63,97,6,3.63,161,6079,5463,584,1281,201,22,128,544,83,54,485,996,0.234,0.298,0.35,0.647,152,124,0.976,28.1
1988,NL West,54,106,6,3.47,160,6013,5440,555,1319,228,28,96,527,95,69,432,848,0.242,0.298,0.348,0.646,151,138,0.976,28.9
1987,NL West,69,92,5,4.64,161,6227,5428,747,1401,284,24,152,696,135,68,641,834,0.258,0.339,0.403,0.742,116,170,0.982,29.6
1986,NL West,72,89,6,3.82,161,6069,5384,615,1348,241,24,138,575,93,76,538,904,0.25,0.319,0.381,0.7,141,181,0.978,29.7
1985,NL West,66,96,5,3.9,162,6208,5526,632,1359,213,28,126,598,72,52,553,849,0.246,0.315,0.363,0.678,159,197,0.976,28.1
1984,NL West,80,82,2,3.9,162,6107,5422,632,1338,234,27,111,578,140,85,555,896,0.247,0.317,0.361,0.678,139,153,0.978,27.8
1983,NL West,88,74,2,4.6,162,6198,5472,746,1489,218,45,130,691,146,88,582,847,0.272,0.341,0.4,0.741,137,176,0.978,27.7
1982,NL West,89,73,1,4.56,162,6233,5507,739,1411,215,22,146,687,151,77,554,869,0.256,0.325,0.383,0.708,137,186,0.979,26.9
1981,NL West,50,56,5,3.69,107,4056,3642,395,886,148,22,64,366,98,39,321,540,0.243,0.306,0.349,0.655,102,93,0.976,26.5
1980,NL West,81,80,4,3.91,161,5961,5402,630,1352,226,22,144,597,73,52,434,899,0.25,0.307,0.38,0.687,162,156,0.975,26.8
