Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,NL West,85,77,2,5.02,162,6315,5633,813,1419,288,40,220,778,88,14,540,1360,0.252,0.323,0.434,0.757,86,136,0.986,28.7
2018,NL West,82,80,3,4.28,162,6157,5460,693,1283,259,50,176,658,79,25,560,1460,0.235,0.31,0.397,0.707,75,152,0.988,29.2
2017,NL West,93,69,2,5.01,162,6224,5525,812,1405,314,39,220,776,103,30,578,1456,0.254,0.329,0.445,0.774,108,140,0.982,28.3
2016,NL West,69,93,4,4.64,162,6260,5665,752,1479,285,56,190,709,137,31,463,1427,0.261,0.32,0.432,0.752,101,143,0.983,26.7
2015,NL West,79,83,3,4.44,162,6276,5649,720,1494,289,48,154,680,132,44,490,1312,0.264,0.324,0.414,0.738,86,146,0.986,26.6
2014,NL West,64,98,5,3.8,162,6089,5552,615,1379,259,47,118,573,86,33,398,1165,0.248,0.302,0.376,0.678,101,147,0.983,27.6
2013,NL West,81,81,2,4.23,162,6334,5676,685,1468,302,31,130,647,62,41,519,1142,0.259,0.323,0.391,0.715,75,135,0.988,28.1
2012,NL West,81,81,3,4.53,162,6150,5462,734,1416,307,33,165,710,93,51,539,1266,0.259,0.328,0.418,0.746,90,146,0.985,28.3
2011,NL West,94,68,1,4.51,162,6096,5421,731,1357,293,37,172,702,133,55,531,1249,0.25,0.322,0.413,0.736,90,131,0.985,28.2
2010,NL West,65,97,5,4.4,162,6183,5473,713,1366,301,34,180,691,86,41,589,1529,0.25,0.325,0.416,0.74,102,152,0.983,26.8
2009,NL West,70,92,5,4.44,162,6269,5565,720,1408,307,45,173,686,102,40,571,1298,0.253,0.324,0.418,0.742,124,133,0.98,26.5
2008,NL West,82,80,2,4.44,162,6156,5409,720,1355,318,47,159,683,58,23,587,1287,0.251,0.327,0.415,0.742,113,137,0.981,26.7
2007,NL West,90,72,1,4.4,162,6101,5398,712,1350,286,40,171,687,109,24,532,1111,0.25,0.321,0.413,0.734,106,157,0.983,26.6
2006,NL West,76,86,4,4.77,162,6330,5645,773,1506,331,38,160,743,76,30,504,965,0.267,0.331,0.424,0.755,104,172,0.983,29.7
2005,NL West,77,85,2,4.3,162,6327,5550,696,1419,291,27,191,670,67,26,606,1094,0.256,0.332,0.421,0.754,94,159,0.985,30.3
2004,NL West,51,111,5,3.8,162,6114,5544,615,1401,295,38,135,582,53,32,441,1022,0.253,0.31,0.393,0.703,139,144,0.977,28.9
2003,NL West,84,78,3,4.43,162,6261,5570,717,1467,303,47,152,696,76,38,531,1006,0.263,0.33,0.417,0.746,107,132,0.983,30.6
2002,NL West,98,64,1,5.06,162,6318,5508,819,1471,283,41,165,783,92,46,643,1016,0.267,0.346,0.423,0.769,89,116,0.985,31.7
2001,NL West,92,70,1,5.05,162,6349,5595,818,1494,284,35,208,776,71,38,587,1052,0.267,0.341,0.442,0.783,84,148,0.986,31.9
2000,NL West,85,77,3,4.89,162,6241,5527,792,1466,282,44,179,756,97,44,535,975,0.265,0.333,0.429,0.763,107,138,0.982,30.8
1999,NL West,100,62,1,5.6,162,6415,5658,908,1566,289,46,216,865,137,39,588,1045,0.277,0.347,0.459,0.805,104,132,0.983,30
1998,NL West,65,97,5,4.1,162,6116,5491,665,1353,235,46,159,621,73,38,489,1239,0.246,0.314,0.393,0.707,100,125,0.984,27.8
