Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,AL Central,93,69,2,4.75,162,6124,5425,769,1354,286,18,223,731,103,35,563,1332,0.25,0.323,0.432,0.756,83,110,0.985,27.8
2018,AL Central,91,71,1,5.05,162,6300,5595,818,1447,297,19,216,786,135,36,554,1189,0.259,0.332,0.434,0.766,83,123,0.986,29.4
2017,AL Central,102,60,1,5.05,162,6234,5511,818,1449,333,29,212,780,88,23,604,1153,0.263,0.339,0.449,0.788,76,167,0.987,28.1
2016,AL Central,94,67,1,4.83,161,6155,5484,777,1435,308,29,185,733,134,31,531,1246,0.262,0.329,0.43,0.759,89,126,0.985,29
2015,AL Central,81,80,3,4.16,161,6109,5439,669,1395,303,29,141,640,86,28,533,1157,0.256,0.325,0.401,0.725,79,136,0.987,28
2014,AL Central,85,77,3,4.13,162,6222,5575,669,1411,284,23,142,644,104,27,504,1189,0.253,0.317,0.389,0.706,116,139,0.981,28.6
2013,AL Central,92,70,2,4.6,162,6165,5465,745,1391,290,23,171,711,117,36,562,1283,0.255,0.327,0.41,0.737,98,135,0.983,28.7
2012,AL Central,68,94,4,4.12,162,6195,5525,667,1385,266,24,136,635,110,44,555,1087,0.251,0.324,0.381,0.705,96,157,0.984,27.8
2011,AL Central,80,82,2,4.35,162,6142,5509,704,1380,290,26,154,671,89,42,494,1269,0.25,0.317,0.396,0.714,110,130,0.982,27.8
2010,AL Central,69,93,4,3.99,162,6165,5487,646,1362,290,20,128,601,91,33,545,1184,0.248,0.322,0.378,0.7,110,179,0.982,27.2
2009,AL Central,65,97,4,4.77,162,6320,5568,773,1468,314,28,161,730,84,31,582,1211,0.264,0.339,0.417,0.756,97,170,0.984,27.4
2008,AL Central,81,81,3,4.97,162,6299,5543,805,1455,339,22,171,772,77,29,560,1213,0.262,0.339,0.424,0.763,94,182,0.985,27.6
2007,AL Central,96,66,1,5.01,162,6367,5604,811,1504,305,27,178,784,72,41,590,1202,0.268,0.343,0.428,0.771,92,167,0.985,28
2006,AL Central,78,84,4,5.37,162,6303,5619,870,1576,351,27,196,839,55,23,556,1204,0.28,0.349,0.457,0.806,118,165,0.981,27.7
2005,AL Central,93,69,2,4.88,162,6255,5609,790,1522,337,30,207,760,62,36,503,1093,0.271,0.334,0.453,0.787,106,156,0.983,27.5
2004,AL Central,80,82,3,5.3,162,6452,5676,858,1565,345,29,184,820,94,55,606,1009,0.276,0.351,0.444,0.795,106,152,0.983,28.6
