Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,AL West,68,94,5,4.68,162,6199,5500,758,1305,254,28,239,730,115,47,588,1581,0.237,0.316,0.424,0.74,132,145,0.978,27.8
2018,AL West,89,73,3,4.18,162,6087,5513,677,1402,256,32,176,644,79,37,430,1221,0.254,0.314,0.408,0.722,88,152,0.985,29.8
2017,AL West,78,84,3,4.63,162,6166,5551,750,1436,281,17,200,714,89,35,487,1267,0.259,0.325,0.424,0.749,103,147,0.982,29.6
2016,AL West,86,76,2,4.74,162,6227,5583,768,1446,251,17,223,735,56,28,506,1288,0.259,0.326,0.43,0.756,89,158,0.985,30.5
2015,AL West,76,86,4,4.05,162,6131,5544,656,1379,262,22,198,624,69,45,478,1336,0.249,0.311,0.411,0.722,94,155,0.985,28.6
2014,AL West,87,75,3,3.91,162,5977,5450,634,1328,247,32,136,600,96,42,396,1232,0.244,0.3,0.376,0.676,82,139,0.986,27.5
2013,AL West,71,91,4,3.85,162,6172,5558,624,1318,249,17,188,597,49,23,529,1353,0.237,0.306,0.39,0.695,88,149,0.986,28.6
2012,AL West,75,87,4,3.82,162,6057,5494,619,1285,241,27,149,584,104,35,466,1259,0.234,0.296,0.369,0.665,72,155,0.988,27
2011,AL West,67,95,4,3.43,162,5972,5421,556,1263,253,22,109,534,125,40,435,1280,0.233,0.292,0.348,0.64,108,152,0.982,29.3
2010,AL West,61,101,4,3.17,162,5989,5409,513,1274,227,16,101,485,142,39,459,1184,0.236,0.298,0.339,0.637,110,145,0.982,29.6
2009,AL West,85,77,3,3.95,162,6113,5543,640,1430,280,19,160,613,89,33,421,1093,0.258,0.314,0.402,0.716,105,150,0.982,29.9
2008,AL West,61,101,4,4.14,162,6176,5643,671,1498,285,20,124,631,90,32,417,890,0.265,0.318,0.389,0.707,99,160,0.984,29.7
2007,AL West,88,74,2,4.9,162,6209,5684,794,1629,284,22,153,754,81,30,389,861,0.287,0.337,0.425,0.762,90,167,0.985,29.9
2006,AL West,78,84,4,4.67,162,6213,5670,756,1540,266,42,172,703,106,37,404,974,0.272,0.325,0.424,0.749,88,150,0.985,28.7
2005,AL West,69,93,4,4.31,162,6095,5507,699,1408,289,34,130,657,102,47,466,986,0.256,0.317,0.391,0.709,86,144,0.986,28.7
2004,AL West,63,99,4,4.31,162,6362,5722,698,1544,276,20,136,658,110,42,492,1058,0.27,0.331,0.396,0.727,103,140,0.983,31.6
2003,AL West,93,69,2,4.91,162,6281,5561,795,1509,290,33,139,759,108,37,586,989,0.271,0.344,0.41,0.754,65,159,0.989,32
2002,AL West,93,69,3,5.02,162,6362,5569,814,1531,285,31,152,771,137,58,629,1003,0.275,0.35,0.419,0.769,88,134,0.985,31.2
2001,AL West,116,46,1,5.72,162,6474,5680,927,1637,310,38,169,881,174,42,614,989,0.288,0.36,0.445,0.805,83,137,0.986,31.4
2000,AL West,91,71,2,5.6,162,6444,5497,907,1481,300,26,198,869,122,56,775,1073,0.269,0.361,0.442,0.803,99,176,0.984,31.4
1999,AL West,79,83,3,5.3,162,6310,5572,859,1499,263,21,244,825,130,45,610,1095,0.269,0.343,0.455,0.798,113,182,0.981,29.3
1998,AL West,76,85,3,5.34,161,6327,5628,859,1553,321,28,234,822,115,39,558,1081,0.276,0.345,0.468,0.812,125,139,0.979,29.8
1997,AL West,90,72,1,5.71,162,6385,5614,925,1574,312,21,264,890,89,40,626,1110,0.28,0.355,0.485,0.839,126,143,0.979,29.3
1996,AL West,85,76,2,6.17,161,6518,5668,993,1625,343,19,245,954,90,39,670,1052,0.287,0.366,0.484,0.85,110,155,0.982,28.7
1995,AL West,79,66,1,5.49,145,5671,4996,796,1377,276,20,182,767,110,41,549,871,0.276,0.35,0.448,0.798,104,108,0.98,28.8
1994,AL West,49,63,3,5.08,112,4361,3883,569,1045,211,18,153,549,48,21,372,652,0.269,0.335,0.451,0.786,95,102,0.977,27.4
1993,AL West,82,80,4,4.53,162,6288,5494,734,1429,272,24,161,681,91,68,624,901,0.26,0.339,0.406,0.745,90,173,0.985,27.9
1992,AL West,64,98,7,4.19,162,6180,5564,679,1466,278,24,149,638,100,55,474,841,0.263,0.323,0.402,0.725,112,170,0.982,28.3
1991,AL West,83,79,5,4.33,162,6237,5494,702,1400,268,29,126,665,97,44,588,811,0.255,0.328,0.383,0.711,110,187,0.983,28.1
1990,AL West,77,85,5,3.95,162,6207,5474,640,1419,251,26,107,610,105,51,596,749,0.259,0.333,0.373,0.707,130,152,0.979,27.9
1989,AL West,73,89,6,4.28,162,6134,5512,694,1417,237,29,134,653,81,55,489,838,0.257,0.32,0.384,0.703,143,168,0.977,26.6
1988,AL West,68,93,7,4.12,161,6018,5436,664,1397,271,27,148,617,95,61,461,787,0.257,0.317,0.398,0.716,123,168,0.98,27
1987,AL West,78,84,4,4.69,162,6145,5508,760,1499,282,48,161,717,174,73,500,863,0.272,0.335,0.428,0.763,122,150,0.98,26.8
1986,AL West,67,95,7,4.43,162,6187,5498,718,1392,243,41,158,681,93,76,572,1148,0.253,0.326,0.399,0.724,156,191,0.975,26.7
1985,AL West,74,88,6,4.44,162,6185,5521,719,1410,277,38,171,686,94,35,564,942,0.255,0.326,0.412,0.738,122,156,0.98,26.9
1984,AL West,74,88,5,4.21,162,6216,5546,682,1429,244,34,129,635,116,62,519,871,0.258,0.324,0.384,0.708,128,143,0.979,27.1
1983,AL West,60,102,7,3.44,162,5907,5336,558,1280,247,31,111,536,144,80,460,840,0.24,0.301,0.36,0.661,136,159,0.978,26.6
1982,AL West,76,86,4,4.02,162,6181,5626,651,1431,259,33,130,614,131,82,456,806,0.254,0.311,0.381,0.692,139,158,0.978,28
1981,AL West,44,65,6,3.87,110,4201,3780,426,950,148,13,89,406,100,50,329,553,0.251,0.314,0.368,0.682,91,122,0.979,28.6
1980,AL West,59,103,7,3.74,163,6142,5489,610,1359,211,35,104,564,116,62,483,727,0.248,0.308,0.356,0.664,149,189,0.977,28.6
1979,AL West,67,95,6,4.39,162,6207,5544,711,1490,250,52,132,676,126,52,515,725,0.269,0.331,0.404,0.735,141,170,0.978,28.6
1978,AL West,56,104,7,3.84,160,6031,5358,614,1327,229,37,97,571,123,47,522,702,0.248,0.314,0.359,0.673,141,174,0.978,27
1977,AL West,64,98,6,3.85,162,6049,5460,624,1398,218,33,133,589,110,67,426,769,0.256,0.312,0.381,0.693,147,162,0.976,26.2
