Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,NL East,86,76,3,4.88,162,6290,5624,791,1445,280,17,242,767,56,27,516,1384,0.257,0.328,0.442,0.77,99,129,0.983,27.9
2018,NL East,77,85,4,4.17,162,6177,5468,676,1282,265,34,170,649,71,39,566,1404,0.234,0.312,0.389,0.701,88,121,0.985,28.4
2017,NL East,70,92,4,4.54,162,6169,5510,735,1379,286,28,224,713,58,23,529,1291,0.25,0.32,0.434,0.755,92,125,0.984,28.9
2016,NL East,87,75,2,4.14,162,6115,5459,671,1342,240,19,218,649,42,18,517,1302,0.246,0.316,0.417,0.733,90,138,0.985,29.5
2015,NL East,90,72,1,4.22,162,6145,5527,683,1351,295,17,177,654,51,25,488,1290,0.244,0.312,0.4,0.712,88,131,0.986,28.6
2014,NL East,79,83,2,3.88,162,6145,5472,629,1306,275,19,125,602,101,34,516,1264,0.239,0.308,0.364,0.673,104,158,0.983,28.4
2013,NL East,74,88,3,3.82,162,6207,5559,619,1318,263,32,130,593,114,35,512,1384,0.237,0.306,0.366,0.672,93,127,0.985,28.3
2012,NL East,74,88,4,4.01,162,6091,5450,650,1357,286,21,139,625,79,38,503,1250,0.249,0.316,0.386,0.701,101,135,0.983,27.9
2011,NL East,77,85,4,4.43,162,6335,5600,718,1477,309,39,108,676,130,35,571,1085,0.264,0.335,0.391,0.725,116,126,0.981,28
2010,NL East,79,83,4,4.05,162,6144,5465,656,1361,266,40,128,625,130,44,502,1095,0.249,0.314,0.383,0.697,87,159,0.986,28.4
2009,NL East,70,92,4,4.14,162,6159,5453,671,1472,295,49,95,631,122,44,526,928,0.27,0.335,0.394,0.729,97,134,0.984,29.5
2008,NL East,89,73,2,4.93,162,6388,5606,799,1491,274,38,172,751,138,36,619,1024,0.266,0.34,0.42,0.761,83,126,0.986,30.1
2007,NL East,88,74,2,4.96,162,6344,5605,804,1543,294,27,177,761,200,46,549,981,0.275,0.342,0.432,0.775,101,124,0.983,30.7
2006,NL East,97,65,1,5.15,162,6291,5558,834,1469,323,41,200,800,146,35,547,1071,0.264,0.334,0.445,0.78,104,131,0.983,30.2
2005,NL East,83,79,3,4.46,162,6146,5505,722,1421,279,32,175,683,153,40,486,1075,0.258,0.322,0.416,0.738,106,146,0.983,28.8
2004,NL East,71,91,4,4.22,162,6209,5532,684,1376,289,20,185,658,107,23,512,1159,0.249,0.317,0.409,0.726,137,144,0.978,29.8
2003,NL East,66,95,5,3.99,161,6007,5341,642,1317,262,24,124,607,70,31,489,1035,0.247,0.314,0.374,0.688,118,158,0.98,29.3
2002,NL East,75,86,5,4.29,161,6150,5496,690,1409,238,22,160,650,87,42,486,1044,0.256,0.322,0.395,0.717,144,138,0.976,30.6
2001,NL East,82,80,3,3.96,162,6156,5459,642,1361,273,18,147,608,66,48,545,1062,0.249,0.323,0.387,0.71,101,132,0.983,30.4
2000,NL East,94,68,2,4.98,162,6328,5486,807,1445,281,20,198,761,66,46,675,1037,0.263,0.346,0.43,0.776,118,121,0.98,30.4
1999,NL East,97,66,2,5.23,163,6454,5572,853,1553,297,14,181,814,150,61,717,994,0.279,0.363,0.434,0.797,68,147,0.989,30.1
1998,NL East,88,74,2,4.36,162,6257,5510,706,1425,289,24,136,671,62,46,572,1049,0.259,0.33,0.394,0.724,101,151,0.984,28.9
1997,NL East,88,74,3,4.8,162,6248,5524,777,1448,274,28,153,741,97,74,550,1029,0.262,0.332,0.405,0.737,120,165,0.981,27.3
1996,NL East,71,91,4,4.6,162,6220,5618,746,1515,267,47,147,697,97,48,445,1069,0.27,0.324,0.412,0.737,159,163,0.974,27.2
1995,NL East,69,75,2,4.56,144,5581,4958,657,1323,218,34,125,617,58,39,446,994,0.267,0.33,0.4,0.73,115,125,0.979,27.4
1994,NL East,55,58,3,4.48,113,4348,3869,506,966,164,21,117,477,25,26,336,807,0.25,0.316,0.394,0.709,89,112,0.98,27.8
1993,NL East,59,103,7,4.15,162,6057,5448,672,1350,228,37,158,632,79,50,448,879,0.248,0.305,0.39,0.696,156,143,0.975,29.4
1992,NL East,72,90,5,3.7,162,6061,5340,599,1254,259,17,93,564,129,52,572,956,0.235,0.31,0.342,0.652,116,134,0.981,30
1991,NL East,77,84,5,3.98,161,6077,5359,640,1305,250,24,117,605,153,70,578,789,0.244,0.317,0.365,0.682,143,112,0.977,29.1
1990,NL East,91,71,2,4.78,162,6182,5504,775,1410,278,21,172,734,110,33,536,851,0.256,0.323,0.408,0.731,132,107,0.978,27.5
1989,NL East,87,75,2,4.22,162,6131,5489,683,1351,280,21,147,633,158,53,504,934,0.246,0.311,0.385,0.696,144,110,0.976,27.5
1988,NL East,100,60,1,4.39,160,6105,5408,703,1387,251,24,152,659,140,51,544,842,0.256,0.325,0.396,0.721,115,127,0.981,27.8
1987,NL East,92,70,2,5.08,162,6335,5601,823,1499,287,34,192,771,159,49,592,1012,0.268,0.339,0.434,0.773,137,137,0.978,28
1986,NL East,108,54,1,4.83,162,6349,5558,783,1462,261,31,148,730,118,48,631,968,0.263,0.339,0.401,0.74,138,145,0.978,28
1985,NL East,98,64,2,4.29,162,6248,5549,695,1425,239,35,134,651,117,53,546,872,0.257,0.323,0.385,0.708,115,138,0.982,28.1
1984,NL East,90,72,2,4.02,162,6066,5438,652,1400,235,25,107,607,149,54,500,1001,0.257,0.32,0.369,0.689,129,154,0.979,27.2
1983,NL East,68,94,6,3.55,162,6009,5444,575,1314,172,26,112,542,141,64,436,1031,0.241,0.3,0.344,0.644,151,171,0.976,27.7
1982,NL East,65,97,6,3.76,162,6108,5510,609,1361,227,26,97,568,137,58,456,1005,0.247,0.305,0.35,0.655,175,134,0.972,28.7
1981,NL East,41,62,5,3.31,105,3886,3493,348,868,136,35,57,325,103,42,304,603,0.248,0.308,0.356,0.665,130,89,0.968,28.3
1980,NL East,67,95,5,3.77,162,6130,5478,611,1407,218,41,61,554,158,99,501,840,0.257,0.319,0.345,0.664,154,132,0.975,27.4
1979,NL East,63,99,6,3.64,163,6231,5591,593,1399,255,41,74,558,135,79,498,817,0.25,0.313,0.35,0.664,140,168,0.978,27.6
1978,NL East,66,96,6,3.75,162,6132,5433,607,1332,227,47,86,561,100,77,549,829,0.245,0.314,0.352,0.666,132,160,0.979,27.1
1977,NL East,64,98,6,3.62,162,6071,5410,587,1319,227,30,88,525,98,81,529,887,0.244,0.313,0.346,0.658,134,132,0.978,27
1976,NL East,86,76,3,3.8,162,6130,5415,615,1334,198,34,102,560,66,58,561,797,0.246,0.319,0.352,0.671,131,116,0.979,28.6
1975,NL East,82,80,3,3.99,162,6239,5587,646,1430,217,34,101,604,32,26,501,805,0.256,0.319,0.361,0.681,151,144,0.976,28.6
1974,NL East,71,91,5,3.53,162,6226,5468,572,1286,183,22,96,538,43,23,597,735,0.235,0.311,0.329,0.641,158,150,0.975,27.8
1973,NL East,82,79,1,3.78,161,6165,5457,608,1345,198,24,85,553,27,22,540,805,0.246,0.315,0.338,0.653,126,140,0.98,27.9
1972,NL East,83,73,3,3.38,156,5883,5135,528,1154,175,31,105,490,41,41,589,990,0.225,0.307,0.332,0.639,116,122,0.98,27.3
1971,NL East,83,79,3,3.63,162,6178,5477,588,1365,203,29,98,546,89,43,547,958,0.249,0.319,0.351,0.669,114,135,0.981,26.6
1970,NL East,83,79,3,4.29,162,6275,5443,695,1358,211,42,120,640,118,54,684,1062,0.249,0.333,0.37,0.703,124,136,0.979,26.5
1969,NL East,100,62,1,3.9,162,6102,5427,632,1311,184,41,109,598,66,43,527,1089,0.242,0.311,0.351,0.662,122,146,0.98,25.9
1968,NL,73,89,9,2.9,163,6027,5503,473,1252,178,30,81,434,72,45,379,1203,0.228,0.281,0.315,0.596,133,142,0.979,26
1967,NL,61,101,10,3.07,162,5928,5417,498,1288,178,23,83,461,58,44,362,981,0.238,0.288,0.325,0.613,157,147,0.975,25.8
1966,NL,66,95,9,3.65,161,5951,5371,587,1286,187,35,98,534,55,46,446,992,0.239,0.301,0.342,0.643,159,171,0.975,26.9
1965,NL,50,112,10,3.02,164,5976,5441,495,1202,203,27,107,460,28,42,392,1129,0.221,0.277,0.327,0.604,171,153,0.974,26.5
1964,NL,53,109,10,3.49,163,6045,5566,569,1372,195,31,103,527,36,31,353,932,0.246,0.296,0.348,0.644,167,154,0.974,26.9
1963,NL,51,111,10,3.09,162,5921,5336,501,1168,156,35,96,459,41,52,457,1078,0.219,0.285,0.315,0.6,210,151,0.967,27.5
1962,NL,40,120,10,3.83,161,6242,5492,617,1318,166,40,139,573,59,48,616,991,0.24,0.318,0.361,0.679,210,167,0.967,29.1
