Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,NL East,93,69,2,5.39,162,6267,5512,873,1460,298,27,231,824,116,29,584,1308,0.265,0.342,0.454,0.796,87,111,0.985,28.7
2018,NL East,82,80,2,4.76,162,6288,5517,771,1402,284,25,191,737,119,33,631,1289,0.254,0.335,0.419,0.753,64,115,0.989,27.5
2017,NL East,97,65,1,5.06,162,6214,5553,819,1477,311,31,215,796,108,30,542,1327,0.266,0.332,0.449,0.782,86,139,0.985,29.2
2016,NL East,95,67,1,4.71,162,6201,5490,763,1403,268,29,203,735,121,39,536,1252,0.256,0.326,0.426,0.751,73,142,0.988,28.8
2015,NL East,83,79,2,4.34,162,6117,5428,703,1363,265,13,177,665,57,23,539,1344,0.251,0.321,0.403,0.724,90,125,0.985,28.4
2014,NL East,96,66,1,4.23,162,6216,5542,686,1403,265,27,152,635,101,23,517,1304,0.253,0.321,0.393,0.714,100,139,0.984,28.8
2013,NL East,86,76,2,4.05,162,6047,5436,656,1365,259,27,161,621,88,28,464,1192,0.251,0.313,0.398,0.71,107,146,0.982,27.7
2012,NL East,98,64,1,4.51,162,6221,5615,731,1468,301,25,194,688,105,35,479,1325,0.261,0.322,0.428,0.75,94,134,0.985,27.2
2011,NL East,80,81,3,3.88,161,6090,5441,624,1319,257,22,154,594,106,38,470,1323,0.242,0.309,0.383,0.691,104,145,0.983,28.4
2010,NL East,69,93,5,4.04,162,6100,5418,655,1355,250,31,149,634,110,41,503,1220,0.25,0.318,0.39,0.708,127,148,0.979,29.1
2009,NL East,59,103,5,4.38,162,6273,5493,710,1416,271,38,156,685,73,40,617,1208,0.258,0.337,0.406,0.743,143,155,0.977,28.3
2008,NL East,59,102,5,3.98,161,6192,5491,641,1376,269,26,117,608,81,43,534,1095,0.251,0.323,0.373,0.696,123,143,0.98,27.7
2007,NL East,73,89,4,4.15,162,6201,5520,673,1415,309,31,123,646,69,23,524,1128,0.256,0.325,0.39,0.715,109,153,0.982,27.9
2006,NL East,71,91,5,4.6,162,6283,5495,746,1437,322,22,164,695,123,62,594,1156,0.262,0.338,0.418,0.756,131,123,0.978,28.5
2005,NL East,81,81,5,3.94,162,6142,5426,639,1367,311,32,117,615,45,45,491,1090,0.252,0.322,0.386,0.708,92,156,0.985,29.3
2004,NL East,67,95,5,3.92,162,6138,5474,635,1361,276,27,151,605,109,38,496,925,0.249,0.313,0.392,0.705,99,172,0.984,27.5
2003,NL East,83,79,4,4.39,162,6116,5437,711,1404,294,25,144,682,100,39,522,990,0.258,0.326,0.401,0.727,102,152,0.983,27.7
2002,NL East,83,79,2,4.54,162,6250,5479,735,1432,300,36,162,695,118,64,575,1104,0.261,0.334,0.418,0.752,139,160,0.978,28.2
2001,NL East,68,94,5,4.14,162,6026,5379,670,1361,320,28,131,622,101,51,478,1071,0.253,0.319,0.396,0.715,108,139,0.982,27.6
2000,NL East,67,95,4,4.56,162,6153,5535,738,1475,310,35,178,705,58,48,476,1048,0.266,0.326,0.432,0.758,132,151,0.978,26.2
1999,NL East,68,94,4,4.43,162,6151,5559,718,1473,320,47,163,680,70,51,438,939,0.265,0.323,0.427,0.751,160,125,0.974,25.9
