Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,AL East,54,108,5,4.5,162,6189,5596,729,1379,252,25,213,698,84,30,462,1435,0.246,0.31,0.415,0.725,108,155,0.982,26.5
2018,AL East,47,115,5,3.84,162,6034,5507,622,1317,242,15,188,593,81,22,422,1412,0.239,0.298,0.391,0.689,104,159,0.982,28.4
2017,AL East,75,87,5,4.59,162,6140,5650,743,1469,269,12,232,713,32,13,392,1412,0.26,0.312,0.435,0.747,94,175,0.984,28.6
2016,AL East,89,73,2,4.59,162,6089,5524,744,1413,265,6,253,710,19,13,468,1324,0.256,0.317,0.443,0.76,80,165,0.987,28.5
2015,AL East,81,81,3,4.4,162,6007,5485,713,1370,246,20,217,686,44,25,418,1331,0.25,0.307,0.421,0.728,77,134,0.987,27.9
2014,AL East,96,66,1,4.35,162,6130,5596,705,1434,264,16,211,681,44,20,401,1285,0.256,0.311,0.422,0.734,87,156,0.986,28.3
2013,AL East,85,77,3,4.6,162,6144,5620,745,1460,298,14,212,719,79,29,416,1125,0.26,0.313,0.431,0.744,54,165,0.991,27.8
2012,AL East,93,69,2,4.4,162,6160,5560,712,1375,270,16,214,677,58,29,480,1315,0.247,0.311,0.417,0.728,106,151,0.983,28
2011,AL East,69,93,5,4.37,162,6156,5585,708,1434,273,13,191,684,81,25,452,1120,0.257,0.316,0.413,0.729,110,159,0.982,28.3
2010,AL East,66,96,5,3.78,162,6109,5554,613,1440,264,21,133,577,76,34,424,1056,0.259,0.316,0.386,0.702,105,141,0.982,28.6
2009,AL East,64,98,5,4.57,162,6233,5618,741,1508,307,19,160,708,76,37,517,1013,0.268,0.332,0.415,0.747,90,151,0.985,28.7
2008,AL East,68,93,5,4.86,161,6211,5559,782,1486,322,30,172,750,81,37,533,990,0.267,0.333,0.429,0.762,100,163,0.983,30.1
2007,AL East,69,93,4,4.67,162,6264,5631,756,1529,306,30,142,718,144,42,500,939,0.272,0.333,0.412,0.746,79,155,0.987,30.4
2006,AL East,70,92,4,4.74,162,6240,5610,768,1556,288,20,164,727,121,32,474,878,0.277,0.339,0.424,0.763,102,156,0.983,30.4
2005,AL East,74,88,4,4.5,162,6135,5551,729,1492,296,27,189,700,83,37,447,902,0.269,0.327,0.434,0.761,107,154,0.982,31.5
2004,AL East,78,84,3,5.2,162,6431,5736,842,1614,319,18,169,803,101,41,528,949,0.281,0.345,0.432,0.776,110,161,0.982,30.5
2003,AL East,71,91,4,4.56,163,6241,5665,743,1516,277,24,152,695,89,36,431,902,0.268,0.323,0.405,0.729,105,164,0.983,29.3
2002,AL East,67,95,4,4.12,162,6096,5491,667,1353,311,27,165,636,110,48,452,993,0.246,0.309,0.403,0.712,91,173,0.985,29.2
2001,AL East,63,98,4,4.24,162,6151,5472,687,1359,262,24,136,663,133,53,514,989,0.248,0.319,0.38,0.699,125,137,0.979,30.2
2000,AL East,74,88,4,4.9,162,6238,5549,794,1508,310,22,184,750,126,65,558,900,0.272,0.341,0.435,0.776,116,151,0.981,32.2
1999,AL East,78,84,4,5.25,162,6409,5637,851,1572,299,21,203,804,107,46,615,890,0.279,0.353,0.447,0.8,89,191,0.986,32.5
1998,AL East,79,83,4,5.04,162,6304,5565,817,1520,303,11,214,783,86,48,593,903,0.273,0.347,0.447,0.794,81,144,0.987,33.2
1997,AL East,98,64,1,5.01,162,6340,5584,812,1498,264,22,196,780,63,26,586,952,0.268,0.341,0.429,0.77,97,148,0.984,31.7
1996,AL East,88,74,2,5.82,163,6494,5689,949,1557,299,29,257,914,76,40,645,915,0.274,0.35,0.472,0.822,97,173,0.984,31.2
1995,AL East,71,73,3,4.89,144,5531,4837,704,1267,229,27,173,668,92,45,574,803,0.262,0.342,0.428,0.77,72,141,0.986,30
1994,AL East,63,49,2,5.26,112,4386,3856,589,1047,185,20,139,557,69,13,438,655,0.272,0.349,0.438,0.787,57,103,0.986,30.2
1993,AL East,85,77,3,4.85,162,6310,5508,786,1470,287,24,157,744,73,54,655,930,0.267,0.346,0.413,0.759,100,171,0.984,29.4
1992,AL East,89,73,3,4.35,162,6292,5485,705,1423,243,36,148,680,89,48,647,827,0.259,0.34,0.398,0.738,93,168,0.985,28.4
1991,AL East,67,95,6,4.23,162,6257,5604,686,1421,256,29,170,660,50,33,528,974,0.254,0.319,0.401,0.72,91,172,0.985,28.2
1990,AL East,76,85,5,4.16,161,6223,5410,669,1328,234,22,132,623,94,52,660,962,0.245,0.33,0.37,0.7,93,151,0.985,27.4
1989,AL East,87,75,2,4.37,162,6173,5440,708,1369,238,33,129,659,118,55,593,957,0.252,0.326,0.379,0.705,87,163,0.986,27.1
1988,AL East,54,107,7,3.42,161,5979,5358,550,1275,199,20,137,517,69,44,504,869,0.238,0.305,0.359,0.664,119,172,0.98,27.7
1987,AL East,67,95,6,4.5,162,6185,5576,729,1437,219,20,211,701,69,45,524,939,0.258,0.322,0.418,0.74,111,174,0.982,30.2
1986,AL East,73,89,7,4.37,162,6203,5524,708,1425,223,13,169,669,64,34,563,862,0.258,0.327,0.395,0.722,135,163,0.978,29.8
1985,AL East,83,78,4,5.08,161,6212,5517,818,1451,234,22,214,773,69,43,604,908,0.263,0.336,0.43,0.765,129,168,0.979,29.6
1984,AL East,85,77,5,4.2,162,6187,5456,681,1374,234,23,160,647,51,36,620,884,0.252,0.328,0.391,0.719,123,166,0.981,29.9
1983,AL East,98,64,1,4.93,162,6273,5546,799,1492,283,27,168,761,61,33,601,800,0.269,0.34,0.421,0.761,121,159,0.981,29.8
1982,AL East,94,68,2,4.75,163,6325,5557,774,1478,259,27,179,735,49,38,634,796,0.266,0.341,0.419,0.76,101,140,0.984,29.6
1981,AL East,59,46,2,4.09,105,3985,3516,429,883,165,11,88,408,41,34,404,454,0.251,0.329,0.379,0.708,68,114,0.983,30.3
1980,AL East,100,62,2,4.97,162,6282,5585,805,1523,258,29,156,751,111,38,587,766,0.273,0.342,0.413,0.755,95,178,0.985,29.7
1979,AL East,102,57,1,4.76,159,6106,5371,757,1401,258,24,181,717,99,49,608,847,0.261,0.336,0.419,0.755,125,161,0.98,28.9
1978,AL East,90,71,4,4.09,161,6081,5422,659,1397,248,19,154,612,75,61,552,864,0.258,0.326,0.396,0.722,110,166,0.982,28.1
1977,AL East,97,64,2,4.47,161,6173,5494,719,1433,231,25,148,677,90,51,560,945,0.261,0.329,0.393,0.722,106,189,0.983,27.9
1976,AL East,88,74,2,3.82,162,6091,5457,619,1326,213,28,119,576,150,61,519,883,0.243,0.31,0.358,0.667,118,157,0.982,29.5
1975,AL East,90,69,2,4.29,159,6211,5474,682,1382,224,33,124,635,104,55,580,834,0.252,0.326,0.373,0.699,107,175,0.983,30.3
1974,AL East,91,71,1,4.07,162,6230,5535,659,1418,226,27,116,608,145,58,509,770,0.256,0.322,0.37,0.692,128,174,0.98,29
1973,AL East,97,65,1,4.65,162,6335,5537,754,1474,229,48,119,692,146,64,648,752,0.266,0.345,0.389,0.734,119,184,0.981,28.2
1972,AL East,80,74,3,3.37,154,5676,5028,519,1153,193,29,100,483,78,41,507,935,0.229,0.302,0.339,0.641,100,150,0.983,28.8
1971,AL East,101,57,1,4.7,158,6143,5303,742,1382,207,25,158,702,66,38,672,844,0.261,0.347,0.398,0.745,112,148,0.981,29.9
1970,AL East,108,54,1,4.89,162,6416,5545,792,1424,213,25,179,748,84,39,717,952,0.257,0.344,0.401,0.745,117,148,0.981,28.8
1969,AL East,109,53,1,4.81,162,6328,5518,779,1465,234,29,175,722,82,45,634,806,0.265,0.343,0.414,0.756,101,145,0.984,28.2
1968,AL,91,71,2,3.57,162,6022,5275,579,1187,215,28,133,534,78,32,570,1019,0.225,0.304,0.352,0.656,120,131,0.981,26.9
