Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,NL East,81,81,4,4.78,162,6261,5571,774,1369,311,26,215,742,78,18,562,1453,0.246,0.319,0.427,0.746,97,136,0.984,27.6
2018,NL East,80,82,3,4.18,162,6136,5424,677,1270,241,30,186,653,69,26,582,1520,0.234,0.314,0.393,0.707,123,138,0.979,26.7
2017,NL East,66,96,5,4.26,162,6133,5535,690,1382,287,36,174,654,59,25,494,1417,0.25,0.315,0.409,0.723,82,145,0.986,26.6
2016,NL East,71,91,4,3.77,162,5992,5434,610,1305,231,35,161,574,96,45,424,1376,0.24,0.301,0.384,0.685,97,142,0.984,26.9
2015,NL East,63,99,5,3.86,162,6053,5529,626,1374,272,37,130,586,88,32,387,1274,0.249,0.303,0.382,0.684,117,145,0.981,28
2014,NL East,73,89,5,3.82,162,6198,5603,619,1356,251,27,125,584,109,26,443,1306,0.242,0.302,0.363,0.665,83,133,0.987,30.8
2013,NL East,73,89,4,3.77,162,6014,5456,610,1355,255,32,140,578,73,29,417,1205,0.248,0.306,0.384,0.69,97,141,0.984,30
2012,NL East,81,81,3,4.22,162,6172,5544,684,1414,271,28,158,659,116,23,454,1094,0.255,0.317,0.4,0.716,101,118,0.983,31.1
2011,NL East,102,60,1,4.4,162,6279,5579,713,1409,258,38,153,693,96,24,539,1024,0.253,0.323,0.395,0.717,74,135,0.988,31.4
2010,NL East,97,65,1,4.77,162,6291,5581,772,1451,290,34,166,736,108,21,560,1064,0.26,0.332,0.413,0.745,83,158,0.986,31.8
2009,NL East,93,69,1,5.06,162,6338,5578,820,1439,312,35,224,788,119,28,589,1155,0.258,0.334,0.447,0.781,76,132,0.987,31.3
2008,NL East,92,70,1,4.93,162,6273,5509,799,1407,291,36,214,762,136,25,586,1117,0.255,0.332,0.438,0.77,90,142,0.985,30.1
2007,NL East,89,73,1,5.51,162,6537,5688,892,1558,326,41,213,850,138,19,641,1205,0.274,0.354,0.458,0.812,89,162,0.986,28.8
2006,NL East,85,77,2,5.34,162,6509,5687,865,1518,294,41,216,823,92,25,626,1203,0.267,0.347,0.447,0.794,104,153,0.983,29.3
2005,NL East,88,74,2,4.98,162,6345,5542,807,1494,282,35,167,760,116,27,639,1083,0.27,0.348,0.423,0.772,90,132,0.985,30
2004,NL East,86,76,2,5.19,162,6456,5643,840,1505,303,23,215,802,100,27,645,1133,0.267,0.345,0.443,0.788,81,142,0.987,29.3
2003,NL East,86,76,3,4.88,162,6333,5543,791,1448,325,27,166,757,72,29,651,1155,0.261,0.343,0.419,0.762,97,146,0.984,28.3
2002,NL East,80,81,3,4.41,161,6323,5523,710,1428,325,41,165,676,104,43,640,1095,0.259,0.339,0.422,0.761,88,156,0.986,27.5
2001,NL East,86,76,2,4.6,162,6219,5497,746,1431,295,29,164,708,153,47,551,1125,0.26,0.329,0.414,0.743,91,145,0.985,26.9
2000,NL East,65,97,5,4.37,162,6399,5511,708,1386,304,40,144,668,102,30,611,1117,0.251,0.329,0.4,0.729,100,136,0.983,28.6
1999,NL East,77,85,3,5.19,162,6386,5598,841,1539,302,44,161,797,125,35,631,1081,0.275,0.351,0.431,0.782,100,144,0.983,28.2
1998,NL East,75,87,3,4.4,162,6300,5617,713,1482,286,36,126,672,97,45,508,1080,0.264,0.326,0.395,0.721,110,131,0.982,27
1997,NL East,68,94,5,4.12,162,6130,5443,668,1390,290,35,116,622,92,56,519,1032,0.255,0.322,0.385,0.707,108,134,0.982,27.8
1996,NL East,67,95,5,4.01,162,6171,5499,650,1405,249,39,132,604,117,41,536,1092,0.256,0.325,0.387,0.712,116,145,0.981,28.4
1995,NL East,69,75,2,4.27,144,5613,4950,615,1296,263,30,94,576,72,25,497,884,0.262,0.332,0.384,0.716,97,139,0.982,29.7
1994,NL East,54,61,4,4.53,115,4436,3927,521,1028,208,28,80,484,67,24,396,711,0.262,0.332,0.39,0.722,94,96,0.978,29.8
1993,NL East,97,65,1,5.41,162,6527,5685,877,1555,297,51,156,811,91,32,665,1049,0.274,0.351,0.426,0.777,141,123,0.977,29.3
1992,NL East,70,92,6,4.23,162,6172,5500,686,1392,255,36,118,638,127,31,509,1059,0.253,0.32,0.377,0.697,131,128,0.978,27.7
1991,NL East,78,84,3,3.88,162,6133,5521,629,1332,248,33,111,590,92,30,490,1026,0.241,0.303,0.358,0.662,119,111,0.981,29
