Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,AL West,78,84,3,5,162,6204,5540,810,1374,296,24,223,765,131,38,534,1578,0.248,0.319,0.431,0.75,105,143,0.982,28.8
2018,AL West,67,95,5,4.55,162,6163,5453,737,1308,266,24,194,696,74,35,555,1484,0.24,0.318,0.404,0.722,120,168,0.98,27.4
2017,AL West,78,84,3,4.93,162,6122,5430,799,1326,255,21,237,756,113,44,544,1493,0.244,0.32,0.43,0.75,108,173,0.982,28.4
2016,AL West,95,67,1,4.72,162,6089,5525,765,1446,257,23,215,746,99,36,436,1220,0.262,0.322,0.433,0.755,97,190,0.984,28.4
2015,AL West,88,74,1,4.64,162,6187,5511,751,1419,279,32,172,707,101,39,503,1233,0.257,0.325,0.413,0.739,119,169,0.981,28.7
2014,AL West,67,95,5,3.93,162,6026,5460,637,1400,260,28,111,597,105,59,417,1162,0.256,0.314,0.375,0.689,106,155,0.982,28.4
2013,AL West,91,72,2,4.48,163,6196,5585,730,1465,262,23,176,691,149,46,462,1067,0.262,0.323,0.412,0.735,86,146,0.986,29.6
2012,AL West,93,69,2,4.99,162,6216,5590,808,1526,303,32,200,780,91,44,478,1103,0.273,0.334,0.446,0.78,85,136,0.986,29.7
2011,AL West,96,66,1,5.28,162,6261,5659,855,1599,310,32,210,807,143,45,475,930,0.283,0.34,0.46,0.8,114,164,0.981,29.1
2010,AL West,90,72,1,4.86,162,6302,5635,787,1556,268,25,162,740,123,48,511,986,0.276,0.338,0.419,0.757,105,133,0.982,28.3
2009,AL West,87,75,2,4.84,162,6127,5526,784,1436,296,27,224,748,149,36,472,1253,0.26,0.32,0.445,0.764,106,168,0.982,27.8
2008,AL West,79,83,2,5.56,162,6478,5728,901,1619,376,35,194,867,81,25,595,1207,0.283,0.354,0.462,0.816,132,191,0.978,27.7
2007,AL West,75,87,4,5.04,162,6214,5555,816,1460,298,36,179,768,88,25,503,1224,0.263,0.328,0.426,0.754,124,179,0.98,29.4
2006,AL West,80,82,3,5.15,162,6273,5659,835,1571,357,23,183,799,53,24,505,1061,0.278,0.338,0.446,0.784,98,174,0.984,28.4
2005,AL West,79,83,3,5.34,162,6301,5716,865,1528,311,29,260,834,67,15,495,1112,0.267,0.329,0.468,0.798,108,149,0.982,27.9
2004,AL West,89,73,3,5.31,162,6284,5615,860,1492,323,34,227,825,69,36,500,1099,0.266,0.329,0.457,0.786,117,152,0.981,27.7
