Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,NL West,71,91,4,5.15,162,6288,5660,835,1502,323,41,224,803,71,31,489,1503,0.265,0.326,0.456,0.782,97,165,0.984,28.2
2018,NL West,91,72,2,4.79,163,6178,5541,780,1418,280,42,210,748,95,33,507,1397,0.256,0.322,0.435,0.757,74,162,0.988,28.7
2017,NL West,87,75,3,5.09,162,6201,5534,824,1510,293,38,192,793,59,34,519,1408,0.273,0.338,0.444,0.781,77,168,0.987,28.3
2016,NL West,75,87,3,5.22,162,6236,5614,845,1544,318,47,204,805,66,39,494,1330,0.275,0.336,0.457,0.794,110,148,0.982,27.8
2015,NL West,68,94,5,4.55,162,6071,5572,737,1479,274,49,186,702,97,43,388,1283,0.265,0.315,0.432,0.748,95,171,0.985,28
2014,NL West,66,96,4,4.66,162,6164,5612,755,1551,307,41,186,721,85,48,397,1281,0.276,0.327,0.445,0.772,106,166,0.983,27.4
2013,NL West,74,88,5,4.36,162,6152,5599,706,1511,283,36,159,673,112,32,427,1204,0.27,0.323,0.418,0.741,90,162,0.986,27.7
2012,NL West,64,98,5,4.68,162,6183,5577,758,1526,306,52,166,716,100,40,450,1213,0.274,0.33,0.436,0.766,122,139,0.98,28.1
2011,NL West,73,89,4,4.54,162,6275,5544,735,1429,274,40,163,697,118,42,555,1201,0.258,0.329,0.41,0.739,98,156,0.984,28.6
2010,NL West,83,79,3,4.75,162,6265,5530,770,1452,270,54,173,741,99,42,585,1274,0.263,0.336,0.425,0.76,101,182,0.984,28.8
2009,NL West,92,70,2,4.96,162,6241,5398,804,1408,300,50,190,760,106,55,660,1277,0.261,0.343,0.441,0.784,87,146,0.986,27.8
2008,NL West,74,88,3,4.61,162,6312,5557,747,1462,310,28,160,714,141,37,570,1209,0.263,0.336,0.415,0.751,96,176,0.985,27.5
2007,NL West,90,73,2,5.28,163,6498,5691,860,1591,313,36,171,823,100,31,622,1152,0.28,0.354,0.437,0.791,68,180,0.989,27.9
2006,NL West,76,86,4,5.02,162,6348,5562,813,1504,325,54,157,761,85,50,561,1108,0.27,0.341,0.433,0.774,91,190,0.985,27.8
2005,NL West,67,95,5,4.57,162,6238,5542,740,1477,280,34,150,704,65,32,509,1103,0.267,0.333,0.411,0.744,118,158,0.981,27.2
2004,NL West,68,94,4,5.14,162,6333,5577,833,1531,331,34,202,795,44,33,568,1181,0.275,0.345,0.455,0.8,89,161,0.986,30.4
2003,NL West,74,88,4,5.27,162,6283,5518,853,1472,330,31,198,814,63,37,619,1134,0.267,0.344,0.445,0.79,116,165,0.981,29.5
2002,NL West,73,89,4,4.8,162,6165,5512,778,1508,283,41,152,726,103,53,497,1043,0.274,0.337,0.423,0.76,112,158,0.982,28.7
2001,NL West,73,89,5,5.7,162,6394,5690,923,1663,324,61,213,874,132,54,511,1027,0.292,0.354,0.483,0.837,96,167,0.984,28.3
2000,NL West,82,80,4,5.98,162,6453,5660,968,1664,320,53,161,905,131,61,601,907,0.294,0.362,0.455,0.816,94,176,0.985,29.2
1999,NL West,72,90,5,5.59,162,6369,5717,906,1644,305,39,223,863,70,43,508,863,0.288,0.348,0.472,0.819,118,189,0.981,29.7
1998,NL West,77,85,4,5.1,162,6277,5632,826,1640,333,36,183,791,67,47,469,949,0.291,0.347,0.461,0.808,102,193,0.984,29.5
1997,NL West,83,79,3,5.7,162,6338,5603,923,1611,269,40,239,869,137,65,562,1060,0.288,0.357,0.478,0.835,111,202,0.983,30.4
1996,NL West,83,79,3,5.93,162,6333,5590,961,1607,297,37,221,909,201,66,527,1108,0.287,0.355,0.472,0.827,149,167,0.976,30.1
1995,NL West,77,67,2,5.45,144,5647,4994,785,1406,259,43,200,749,125,59,484,943,0.282,0.35,0.471,0.82,107,146,0.981,29.5
1994,NL West,53,64,3,4.9,117,4493,4006,573,1098,206,39,125,540,91,53,378,761,0.274,0.337,0.439,0.776,84,117,0.981,29.7
1993,NL West,67,95,6,4.68,162,6073,5517,758,1507,278,59,142,704,146,90,388,944,0.273,0.323,0.422,0.745,167,149,0.973,27.7
