Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,AL Central,47,114,5,3.61,161,6039,5549,582,1333,292,41,149,556,57,20,391,1595,0.24,0.294,0.388,0.682,110,127,0.981,27.6
2018,AL Central,64,98,3,3.89,162,6029,5494,630,1326,284,35,135,597,70,30,428,1341,0.241,0.3,0.38,0.68,95,126,0.984,27.9
2017,AL Central,64,98,5,4.54,162,6150,5556,735,1435,289,35,187,699,65,34,503,1313,0.258,0.324,0.424,0.748,84,146,0.985,29.6
2016,AL Central,86,75,2,4.66,161,6127,5526,750,1476,252,30,211,719,58,29,493,1303,0.267,0.331,0.438,0.769,75,148,0.987,30
2015,AL Central,74,87,5,4.28,161,6159,5605,689,1515,289,49,151,660,83,51,455,1259,0.27,0.328,0.42,0.748,86,165,0.986,28.3
2014,AL Central,90,72,1,4.67,162,6202,5630,757,1557,325,26,155,731,106,41,443,1144,0.277,0.331,0.426,0.757,101,153,0.983,29.8
2013,AL Central,93,69,1,4.91,162,6388,5735,796,1625,292,23,176,767,35,20,531,1073,0.283,0.346,0.434,0.78,76,136,0.987,30
2012,AL Central,88,74,1,4.48,162,6119,5476,726,1467,279,39,163,698,59,23,511,1103,0.268,0.335,0.422,0.757,99,127,0.983,27.9
2011,AL Central,95,67,1,4.86,162,6231,5563,787,1540,297,34,169,750,49,20,521,1143,0.277,0.34,0.434,0.773,103,148,0.983,28.6
2010,AL Central,81,81,3,4.64,162,6312,5643,751,1515,308,32,152,717,69,30,546,1147,0.268,0.335,0.415,0.75,109,171,0.982,29
2009,AL Central,86,77,2,4.56,163,6234,5540,743,1443,245,35,183,718,72,33,540,1114,0.26,0.331,0.416,0.747,88,164,0.985,29.8
2008,AL Central,74,88,5,5.07,162,6331,5641,821,1529,293,41,200,780,63,31,572,1076,0.271,0.34,0.444,0.784,113,172,0.981,30.3
2007,AL Central,88,74,2,5.48,162,6364,5757,887,1652,352,50,177,857,103,30,474,1054,0.287,0.345,0.458,0.802,99,148,0.984,30.9
2006,AL Central,95,67,2,5.07,162,6198,5642,822,1548,294,40,203,785,60,40,430,1133,0.274,0.329,0.449,0.777,106,162,0.983,29.3
2005,AL Central,71,91,4,4.46,162,6136,5602,723,1521,283,45,168,678,66,28,384,1038,0.272,0.321,0.428,0.75,110,171,0.982,28.5
2004,AL Central,72,90,4,5.1,162,6285,5623,827,1531,284,54,201,800,86,50,518,1144,0.272,0.337,0.449,0.786,144,160,0.977,28.1
2003,AL Central,43,119,5,3.65,162,6071,5466,591,1312,201,39,153,553,98,63,443,1099,0.24,0.3,0.375,0.675,138,194,0.978,27.3
2002,AL Central,55,106,5,3.57,161,5920,5406,575,1340,265,37,124,546,65,44,363,1035,0.248,0.3,0.379,0.679,142,148,0.977,28.1
2001,AL Central,66,96,4,4.47,162,6145,5537,724,1439,291,60,139,691,133,61,466,972,0.26,0.32,0.409,0.73,131,164,0.979,28.3
2000,AL Central,79,83,3,5.08,162,6343,5644,823,1553,307,41,177,785,83,38,562,982,0.275,0.343,0.438,0.781,105,171,0.983,29.1
1999,AL Central,69,92,3,4.64,161,6096,5481,747,1433,289,34,212,704,108,70,458,1049,0.261,0.326,0.443,0.768,106,156,0.982,27.5
1998,AL Central,65,97,5,4.46,162,6243,5664,722,1494,306,29,165,691,122,62,455,1070,0.264,0.323,0.415,0.738,115,164,0.982,27.3
1997,AL East,79,83,3,4.84,162,6190,5481,784,1415,268,32,176,743,161,72,578,1164,0.258,0.332,0.415,0.747,92,146,0.985,26.4
1996,AL East,53,109,5,4.83,162,6203,5530,783,1413,257,21,204,741,87,50,546,1268,0.256,0.323,0.42,0.743,137,157,0.978,27
1995,AL East,60,84,4,4.54,144,5535,4865,654,1204,228,29,159,619,73,36,551,987,0.247,0.327,0.404,0.731,106,143,0.981,28.8
1994,AL East,53,62,5,5.67,115,4574,3955,652,1048,216,25,161,622,46,33,520,897,0.265,0.352,0.454,0.806,82,90,0.981,30.8
1993,AL East,85,77,3,5.55,162,6505,5620,899,1546,282,38,178,853,104,63,765,1122,0.275,0.362,0.434,0.796,132,148,0.979,30.8
1992,AL East,75,87,6,4.88,162,6310,5515,791,1411,256,16,182,746,66,45,675,1055,0.256,0.337,0.407,0.744,116,164,0.981,30
1991,AL East,84,78,2,5.04,162,6359,5547,817,1372,259,26,209,778,109,47,699,1185,0.247,0.333,0.416,0.749,104,171,0.983,29.2
1990,AL East,79,83,3,4.63,162,6224,5479,750,1418,241,32,172,714,82,57,634,952,0.259,0.337,0.409,0.746,131,178,0.979,30.7
1989,AL East,59,103,7,3.81,162,6133,5432,617,1315,198,24,116,564,103,50,585,899,0.242,0.318,0.351,0.669,130,153,0.979,31
1988,AL East,88,74,2,4.34,162,6153,5433,703,1358,213,28,143,650,87,42,588,841,0.25,0.324,0.378,0.703,109,129,0.982,32.2
1987,AL East,98,64,1,5.53,162,6444,5649,896,1535,274,32,225,840,106,50,653,913,0.272,0.349,0.451,0.8,122,147,0.98,31.2
1986,AL East,87,75,3,4.93,162,6269,5512,798,1447,234,30,198,751,138,58,613,885,0.263,0.338,0.424,0.762,108,163,0.982,30.5
1985,AL East,84,77,3,4.53,161,6223,5575,729,1413,254,45,202,703,75,41,526,926,0.253,0.318,0.424,0.742,143,152,0.977,29.5
1984,AL East,104,58,1,5.12,162,6375,5644,829,1529,254,46,187,788,106,68,602,941,0.271,0.342,0.432,0.774,127,162,0.979,28.5
1983,AL East,92,70,2,4.87,162,6246,5592,789,1530,283,53,156,749,93,53,508,831,0.274,0.335,0.427,0.762,125,142,0.98,27.7
1982,AL East,83,79,4,4.5,162,6166,5590,729,1489,237,40,177,684,93,66,470,807,0.266,0.324,0.418,0.742,117,165,0.981,27.1
