Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,AL Central,101,61,1,5.8,162,6392,5732,939,1547,318,23,307,906,28,21,525,1334,0.27,0.338,0.494,0.832,111,130,0.981,27.8
2018,AL Central,78,84,2,4.56,162,6154,5526,738,1379,317,22,166,704,47,27,534,1328,0.25,0.318,0.405,0.723,97,127,0.984,28.2
2017,AL Central,85,77,2,5.03,162,6261,5557,815,1444,286,31,206,781,95,28,593,1342,0.26,0.334,0.434,0.768,78,143,0.987,27.1
2016,AL Central,59,103,5,4.46,162,6245,5618,722,1409,288,35,200,690,91,32,513,1426,0.251,0.316,0.421,0.738,126,172,0.979,26.9
2015,AL Central,83,79,2,4.3,162,6017,5467,696,1349,277,44,156,661,70,38,439,1264,0.247,0.305,0.399,0.704,86,150,0.986,28.3
2014,AL Central,70,92,5,4.41,162,6233,5567,715,1412,316,27,128,675,99,36,544,1329,0.254,0.324,0.389,0.713,97,136,0.984,27.5
2013,AL Central,66,96,4,3.79,162,6212,5564,614,1346,285,15,151,590,52,33,533,1430,0.242,0.312,0.38,0.692,81,178,0.987,28.3
2012,AL Central,66,96,5,4.33,162,6209,5562,701,1448,270,30,131,666,135,37,505,1069,0.26,0.325,0.39,0.715,107,188,0.983,28.9
2011,AL Central,63,99,5,3.82,162,6020,5487,619,1357,259,25,103,572,92,39,440,1048,0.247,0.306,0.36,0.666,119,153,0.98,27.5
2010,AL Central,94,68,1,4.82,162,6257,5568,781,1521,318,41,142,749,68,28,559,967,0.273,0.341,0.422,0.762,78,150,0.987,28.4
2009,AL Central,87,76,1,5.01,163,6346,5608,817,1539,271,40,172,770,85,32,585,1021,0.274,0.345,0.429,0.774,76,135,0.987,27.6
2008,AL Central,88,75,2,5.09,163,6331,5641,829,1572,298,49,111,791,102,42,529,979,0.279,0.34,0.408,0.748,108,168,0.982,26.2
2007,AL Central,79,83,3,4.43,162,6161,5522,718,1460,273,36,118,671,112,30,512,839,0.264,0.33,0.391,0.721,95,151,0.984,28.4
2006,AL Central,96,66,1,4.94,162,6228,5602,801,1608,275,34,143,754,101,42,490,872,0.287,0.347,0.425,0.771,84,135,0.986,28.3
2005,AL Central,83,79,3,4.25,162,6192,5564,688,1441,269,32,134,644,102,44,485,978,0.259,0.323,0.391,0.714,102,171,0.984,27.6
2004,AL Central,92,70,1,4.81,162,6286,5623,780,1494,310,24,191,735,116,46,513,982,0.266,0.332,0.431,0.763,101,158,0.984,27.8
2003,AL Central,90,72,1,4.94,162,6324,5655,801,1567,318,45,155,755,94,44,512,1027,0.277,0.341,0.431,0.772,87,114,0.985,27.2
2002,AL Central,94,67,1,4.77,161,6196,5582,768,1518,348,36,167,731,79,62,472,1089,0.272,0.332,0.437,0.769,74,124,0.987,26.6
2001,AL Central,85,77,2,4.76,162,6185,5560,771,1514,328,38,164,717,146,67,495,1083,0.272,0.337,0.433,0.77,108,118,0.982,26.2
2000,AL Central,69,93,5,4.62,162,6283,5615,748,1516,325,49,116,711,90,45,556,1021,0.27,0.337,0.407,0.744,102,155,0.983,26.5
1999,AL Central,63,97,5,4.26,161,6124,5495,686,1450,285,30,105,643,118,60,500,978,0.264,0.328,0.384,0.712,92,150,0.985,26.8
1998,AL Central,70,92,4,4.53,162,6263,5641,734,1499,285,32,115,691,112,54,506,915,0.266,0.328,0.389,0.717,108,135,0.982,29.9
1997,AL Central,68,94,4,4.77,162,6267,5634,772,1522,305,40,132,730,151,52,495,1121,0.27,0.333,0.409,0.741,101,170,0.983,29.2
1996,AL Central,78,84,4,5.41,162,6403,5673,877,1633,332,47,118,812,143,53,576,958,0.288,0.357,0.425,0.782,94,142,0.984,28.6
1995,AL Central,56,88,5,4.88,144,5588,5005,703,1398,270,34,120,662,105,57,471,916,0.279,0.346,0.419,0.765,100,141,0.981,27.4
1994,AL Central,53,60,4,5.26,113,4409,3952,594,1092,239,23,103,556,94,30,359,635,0.276,0.34,0.427,0.767,75,99,0.982,28.9
1993,AL West,71,91,5,4.28,162,6209,5601,693,1480,261,27,121,642,83,59,493,850,0.264,0.327,0.385,0.713,100,160,0.984,29.7
1992,AL West,90,72,2,4.61,162,6267,5582,747,1544,275,27,104,701,123,74,527,834,0.277,0.341,0.391,0.733,95,155,0.985,28.7
1991,AL West,95,67,1,4.79,162,6218,5556,776,1557,270,42,140,733,107,68,526,747,0.28,0.344,0.42,0.764,95,161,0.985,29.1
1990,AL West,74,88,7,4.11,162,6086,5499,666,1458,281,39,100,625,96,53,445,749,0.265,0.324,0.385,0.708,101,161,0.983,29.5
1989,AL West,80,82,5,4.57,162,6207,5581,740,1542,278,35,117,691,111,53,478,743,0.276,0.334,0.402,0.736,107,141,0.982,29.4
1988,AL West,91,71,2,4.69,162,6181,5510,759,1508,294,31,151,710,107,63,528,832,0.274,0.34,0.421,0.761,84,155,0.986,28.4
1987,AL West,85,77,1,4.85,162,6090,5441,786,1422,258,35,196,733,113,65,523,898,0.261,0.328,0.43,0.758,98,147,0.984,27.6
1986,AL West,71,91,6,4.57,162,6151,5531,741,1446,257,39,196,700,81,61,501,977,0.261,0.325,0.428,0.753,118,168,0.98,26.8
1985,AL West,77,85,4,4.35,162,6128,5509,705,1453,282,41,141,678,68,44,502,779,0.264,0.326,0.407,0.733,120,139,0.98,26.3
1984,AL West,81,81,2,4.15,162,6107,5562,673,1473,259,33,114,636,39,30,437,735,0.265,0.318,0.385,0.703,120,134,0.98,25.7
1983,AL West,70,92,5,4.38,162,6171,5601,709,1463,280,41,141,671,44,29,467,802,0.261,0.319,0.401,0.72,121,170,0.98,25.9
1982,AL West,60,102,7,4.06,162,6115,5544,657,1427,234,44,148,624,38,33,474,887,0.257,0.316,0.396,0.711,108,162,0.982,25.2
1981,AL West,41,68,7,3.44,110,4026,3676,378,884,147,36,47,359,34,27,275,497,0.24,0.293,0.338,0.632,96,103,0.978,26.8
1980,AL West,77,84,3,4.16,161,6131,5530,670,1468,252,46,99,634,62,46,436,703,0.265,0.319,0.381,0.7,148,192,0.977,26.5
1979,AL West,82,80,4,4.72,162,6297,5544,764,1544,256,46,112,714,66,45,526,693,0.278,0.341,0.402,0.743,134,203,0.979,26.1
1978,AL West,73,89,4,4.11,162,6326,5522,666,1472,259,47,82,621,99,56,604,684,0.267,0.339,0.375,0.714,146,171,0.977,26.9
1977,AL West,84,77,4,5.39,161,6382,5639,867,1588,273,60,123,804,105,65,563,754,0.282,0.348,0.417,0.765,143,184,0.978,26.6
1976,AL West,85,77,3,4.59,162,6307,5574,743,1526,222,51,81,691,146,75,550,714,0.274,0.341,0.375,0.716,172,182,0.973,26.5
1975,AL West,76,83,4,4.55,159,6225,5514,724,1497,215,28,121,669,81,48,563,746,0.271,0.341,0.386,0.727,170,147,0.973,27.6
1974,AL West,82,80,3,4.13,163,6304,5632,673,1530,190,37,111,632,74,45,520,791,0.272,0.336,0.378,0.714,151,164,0.976,28.2
1973,AL West,81,81,3,4.56,162,6332,5625,738,1521,240,44,120,688,87,46,598,954,0.27,0.342,0.393,0.735,139,147,0.978,28
1972,AL West,77,77,3,3.49,154,5848,5234,537,1277,182,31,93,506,53,41,478,905,0.244,0.31,0.344,0.654,159,133,0.974,27.4
1971,AL West,74,86,5,4.09,160,6073,5414,654,1406,197,31,116,618,66,44,512,846,0.26,0.323,0.372,0.695,118,134,0.98,28.5
1970,AL West,98,64,1,4.59,162,6143,5483,744,1438,230,41,153,694,57,52,501,905,0.262,0.327,0.403,0.73,123,130,0.98,28.6
1969,AL West,97,65,1,4.88,162,6424,5677,790,1520,246,32,163,733,115,70,599,906,0.268,0.34,0.408,0.748,150,177,0.977,28.9
1968,AL,79,83,7,3.47,162,5974,5373,562,1274,207,41,105,522,98,54,445,966,0.237,0.299,0.35,0.649,170,117,0.973,28.2
1967,AL,91,71,2,4.09,164,6116,5458,671,1309,216,48,131,619,55,37,512,976,0.24,0.309,0.369,0.678,132,123,0.978,28
1966,AL,89,73,2,4.09,162,6035,5390,663,1341,219,33,144,611,67,42,513,844,0.249,0.316,0.382,0.698,139,118,0.977,27.8
1965,AL,102,60,1,4.78,162,6215,5488,774,1396,257,42,150,711,92,33,554,969,0.254,0.324,0.399,0.722,172,158,0.973,27.4
1964,AL,79,83,6,4.52,163,6319,5610,737,1413,227,46,221,707,46,22,553,1019,0.252,0.322,0.427,0.749,145,131,0.977,26.9
