Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge
2019,AL Central,72,89,3,4.4,161,6042,5529,708,1443,260,20,182,676,63,28,378,1549,0.261,0.314,0.414,0.728,117,171,0.98,27.6
2018,AL Central,62,100,4,4.05,162,6071,5523,656,1332,259,40,182,639,98,41,425,1594,0.241,0.302,0.401,0.703,114,135,0.981,26.5
2017,AL Central,67,95,4,4.36,162,6059,5513,706,1412,256,37,186,670,71,31,401,1397,0.256,0.314,0.417,0.731,114,157,0.981,26.7
2016,AL Central,78,84,4,4.23,162,6131,5550,686,1428,277,33,168,656,77,36,455,1285,0.257,0.317,0.41,0.727,95,148,0.984,28.3
2015,AL Central,76,86,4,3.84,162,6070,5533,622,1381,260,27,136,595,68,42,404,1231,0.25,0.306,0.38,0.686,101,159,0.983,28.2
2014,AL Central,73,89,4,4.07,162,6077,5543,660,1400,279,32,155,625,85,36,417,1362,0.253,0.31,0.398,0.708,107,170,0.982,27.7
2013,AL Central,63,99,5,3.69,162,6077,5563,598,1385,237,19,148,574,105,42,411,1207,0.249,0.302,0.378,0.68,121,155,0.98,29.2
2012,AL Central,85,77,2,4.62,162,6111,5518,748,1409,228,29,211,726,109,43,461,1203,0.255,0.318,0.422,0.74,70,154,0.988,30
2011,AL Central,79,83,3,4.04,162,6159,5502,654,1387,252,16,154,625,81,53,475,989,0.252,0.319,0.388,0.706,79,129,0.987,30
2010,AL Central,88,74,2,4.64,162,6118,5484,752,1467,263,21,177,710,160,74,467,922,0.268,0.332,0.42,0.752,103,158,0.983,30.7
2009,AL Central,79,83,3,4.47,162,6132,5463,724,1410,246,20,184,695,113,49,534,1022,0.258,0.329,0.411,0.74,113,158,0.981,29.8
2008,AL Central,89,74,1,4.98,163,6231,5553,811,1458,296,13,235,785,67,34,540,1016,0.263,0.332,0.448,0.78,108,155,0.983,30.6
2007,AL Central,72,90,4,4.28,162,6103,5441,693,1341,249,20,190,667,78,45,532,1149,0.246,0.318,0.404,0.722,108,168,0.982,29.8
2006,AL Central,90,72,3,5.36,162,6318,5657,868,1586,291,20,236,839,93,48,502,1056,0.28,0.342,0.464,0.806,90,145,0.985,29.8
